store_id,forecast_week,sales_prediction
54,9,21450.417945957684
55,1,39448.8631564226
55,2,39645.99760362082
55,3,39305.04049243755
55,4,39388.57554572043
55,5,39744.982638997164
55,6,39689.15837623413
55,7,38883.72496700639
55,8,38559.07792615305
55,9,22220.285847916177
56,1,37984.615456603366
56,2,38721.257912660534
56,3,38959.122960945264
56,4,38602.85030623641
56,5,38648.385760403384
56,6,38571.807211868494
56,7,39449.49034700284
56,8,39207.247573819426
56,9,22630.075399559555
57,1,25736.7319027419
57,2,26482.05994903709
57,3,26761.04978669044
57,4,26660.61849528192
57,5,27409.08138023781
57,6,27730.966349228504
57,7,27513.054903122556
57,8,27130.825396356522
57,9,15635.696909470975
58,1,42707.75391811364
58,2,43078.33475745318
58,3,42833.353636408676
58,4,42403.17532654404
58,5,42705.04514135709
58,6,43038.42449526046
58,7,43107.99278420503
58,8,42437.57296858099
58,9,24472.04328822071
59,1,48278.227505820905
59,2,48394.10787054687
59,3,48885.122230273264
59,4,48656.17277406376
59,5,48347.346427877055
59,6,48476.696057172005
59,7,48834.69244945577
59,8,48660.732658366345
59,9,27161.610749272397
60,1,43085.05549957432
60,2,43207.56770806641
60,3,43688.15067130509
60,4,43265.34722721276
60,5,43107.45291365599
60,6,43024.458641388104
60,7,43369.43393085816
60,8,43371.91332179934
60,9,24514.659021748717
61,1,48721.420696265784
61,2,47968.68778673293
61,3,47568.22355617053
61,4,48208.13776692545
61,5,48300.59346043397
61,6,47844.51278897251
61,7,47171.624893523345
61,8,47607.714051945935
61,9,27166.460671049375
62,1,26066.376925924396
62,2,26793.039529026657
62,3,26912.362253244526
62,4,27022.97917120458
62,5,27301.091939474107
62,6,27576.012320797505
62,7,27824.42304262882
62,8,27779.73842007118
62,9,15954.362302554255
63,1,45593.83054080207
63,2,45685.65183601689
63,3,44982.509097357666
63,4,44870.7698393977
63,5,45522.97755324814
63,6,45697.60320128012
63,7,45194.47547526038
63,8,44815.09047403482
63,9,25759.78802735446
64,1,39613.046615771804
64,2,39728.46363484809
64,3,39428.19605261758
64,4,39438.8361044279
64,5,39362.64578192143
64,6,39593.37885038507
64,7,39118.00541761058
64,8,39076.76843346623
64,9,22428.47717943423
65,1,43203.841286493654
65,2,43597.154597543195
65,3,43252.41283453263
65,4,43295.750885311165
65,5,43307.367042515005
65,6,43285.045119709306
65,7,43307.28943643492
65,8,43342.08026593452
65,9,24808.96417335255
66,1,39155.86570920568
66,2,38346.76128487459
66,3,37499.07116691557
66,4,37698.16108457672
66,5,37648.92171912982
66,6,37679.47323389747
66,7,36872.04910521903
66,8,37085.340353661
66,9,21233.271816875
67,1,44811.319346580174
67,2,43860.5526471771
67,3,43811.75658494881
67,4,43983.247803266364
67,5,43833.35045822452
67,6,43569.44934855371
67,7,43627.91732147896
67,8,43941.99439624906
67,9,24952.12878636344
68,1,44029.55573407969
68,2,43813.484416066996
68,3,43803.3078100799
68,4,44229.482679257795
68,5,44392.845968881986
68,6,44607.82258612031
68,7,43695.96432719193
68,8,43716.75820005706
68,9,24937.22158530748
69,1,45952.26945608726
69,2,45992.39749434511
69,3,46604.05583685302
69,4,46514.71630450527
69,5,46351.30783061957
69,6,45825.1743275744
69,7,46716.8208956379
69,8,46706.71642027546
69,9,26616.415677684246
70,1,52840.46191466869
70,2,52183.56252959814
70,3,52922.334527174404
70,4,53367.18680383559
70,5,52730.59697258635
70,6,52521.06696887073
70,7,52723.27270311768
70,8,52853.25246024248
70,9,29993.95311608284
71,1,26066.47488954784
71,2,26706.360895051555
71,3,26464.01075893115
71,4,26613.821945540243
71,5,26933.594488788724
71,6,27521.970521645122
71,7,26600.364461300604
71,8,26658.846012142127
71,9,15248.71929385281
72,1,37912.786085654414
72,2,38357.23422132462
72,3,38904.14737614209
72,4,38661.18837037211
72,5,38871.250431456894
72,6,38564.02624736254
72,7,39215.55013845672
72,8,38875.80002983971
72,9,22185.75296648004
73,1,37258.86615174188
73,2,37334.07690134568
73,3,37187.62174396258
73,4,37135.541724292416
73,5,37183.05267668934
73,6,37308.2005683108
73,7,37742.66928696374
73,8,37625.294679461076
73,9,21609.9796834198
74,1,37046.955957499486
74,2,37413.40025515319
74,3,37808.21412971625
74,4,37169.459673444966
74,5,37258.88413846134
74,6,37477.67405850437
74,7,38227.26244288597
74,8,37627.40802217905
74,9,21512.06415622471
75,1,47411.17655549858
75,2,47234.33380339057
75,3,47222.536558601205
75,4,47457.680316390986
75,5,47617.448716951585
75,6,47234.6212688783
75,7,47082.897169422955
75,8,46893.61670469037
75,9,27059.4454459962
76,1,29001.52807921325
76,2,29633.25806164517
76,3,29875.102261418353
76,4,29422.20986883911
76,5,29812.025077619906
76,6,29627.512415365913
76,7,30888.794757431526
76,8,30323.996232253558
76,9,16912.8674341304
77,1,41052.970085465335
77,2,40597.30918666514
77,3,40335.905879263184
77,4,40118.159303175555
77,5,40174.9283769771
77,6,39823.79701995117
77,7,40008.2413116148
77,8,40011.90979358211
77,9,22742.048773809307
78,1,38262.5265417088
78,2,39061.029362320056
78,3,38845.23189771545
78,4,38473.45567970286
78,5,38498.90337132917
78,6,38464.64792611721
78,7,38655.19584260082
78,8,38442.06188290971
78,9,21894.943488006284
79,1,40623.06437372098
79,2,39562.10813730169
79,3,39560.146221299314
79,4,39433.747339758374
79,5,39211.73645546105
79,6,38858.85807157321
