store_id,forecast_week,sales_prediction
96,1,51642.89586871469
96,2,51654.210600720595
96,3,51536.78854060157
96,4,51060.568129587344
96,5,51414.218792407235
96,6,51334.13610751167
96,7,51072.551165004515
96,8,50635.91308019457
96,9,28814.144882960525
97,1,36399.85020345265
97,2,35290.76978950575
97,3,34327.25131995559
97,4,34363.30286829296
97,5,33910.79859619613
97,6,34008.081772472346
97,7,34516.24546056532
97,8,35062.549016302
97,9,19893.379576497064
98,1,44450.39200311947
98,2,44195.17147424685
98,3,44381.996736648776
98,4,45065.35198989451
98,5,45130.75969191197
98,6,44878.80040293802
98,7,45142.51497182676
98,8,45485.77177615571
98,9,25988.979164887176
99,1,56010.54192554226
99,2,55518.102807380405
99,3,55015.18369912189
99,4,55388.02151704779
99,5,55931.977879149694
99,6,55518.32303142061
99,7,54998.29018947531
99,8,55164.15475397776
99,9,31651.066622792365
100,1,41220.067755623364
100,2,40649.9571634587
100,3,39505.62589774495
100,4,39951.08060272694
100,5,39916.44362326413
100,6,40385.40468567693
100,7,39850.79056281302
100,8,39776.68472967154
100,9,22782.950705118124
101,1,45465.97593264021
101,2,46230.9516081864
101,3,46741.879943328495
101,4,46458.42932401547
101,5,46240.19996599098
101,6,46553.97124019436
101,7,47529.44048386054
101,8,47433.06132919048
101,9,27182.44782251711
102,1,48100.4186297389
102,2,46968.418623814156
102,3,46608.73616162133
102,4,47877.674889939284
102,5,48010.618940863395
102,6,47944.60863275711
102,7,47015.17683292224
102,8,47371.498381321566
102,9,27381.778651462948
103,1,38362.52773949177
103,2,37829.116100640465
103,3,37361.29236596628
103,4,37414.70863435746
103,5,36855.829508849536
103,6,36248.728172968506
103,7,35407.446685806135
103,8,35200.4056428187
103,9,19196.38667829241
104,1,38181.71210573606
104,2,38740.907217815606
104,3,39259.316589509675
104,4,39628.82755294326
104,5,39905.384054234084
104,6,40023.14838306955
104,7,40301.55001959465
104,8,40461.71216105829
104,9,23195.174184925414
105,1,44039.92627066713
105,2,43752.47591636591
105,3,43596.066279215534
105,4,43372.7004190165
105,5,43357.30209921459
105,6,43129.798866014055
